team,player_id_x,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,snap_counts_defense,player_id_y,player_game_count,assists,batted_passes,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,penalties,qb_rating_against,sacks,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,stops,tackles,tackles_for_loss,total_pressures,Year,weighted_grade,weighted_average_grade,merge_player_y
Raiders,00-0026330,0.0,Raiders,-0.2,25.00%,Ahtyba Rubin,DT,0.2217832957110609,2018.0,ahtyba rubin,ahtyba rubin,ahtyba rubin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0034810,35.2471162774906,Rams,0.15,79.00%,Sebastian Joseph-Day,DT,0.2927816027088036,2018.0,sebastian josephday,sebastian josephday,sebastian josephday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0031425,0.0,Rams,0.15,79.00%,Dominique Easley,DT,0.4045445823927765,2018.0,dominique easley,dominique easley,dominique easley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0033376,0.0,Ravens,0.11,58.80%,Patrick Ricard,DT,0.3144277652370203,2018.0,patrick ricard,patrick ricard,patrick ricard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0034019,0.0,Seahawks,0.1,58.80%,Malik McDowell,DT,0.8920886004514673,2018.0,malik mcdowell,malik mcdowell,malik mcdowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0034077,0.0,Bengals,-0.193,12.50%,Niles Scott,DT,0.2088204038257173,2019.0,niles scott,niles scott,niles scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0035452,0.0,Cardinals,-0.081,33.30%,Javier Edwards,DT,0.0127523910733262,2019.0,javier edwards,lavar edwards,lavar edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0034359,170.1813819186075,Colts,0.009,43.80%,Tyquan Lewis,DT,0.527250265674814,2019.0,tyquan lewis,trey lewis,trey lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0035380,0.0,Colts,0.009,43.80%,Roderick Young,DT,0.0085015940488841,2019.0,roderick young,roderick perry,roderick perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0033535,0.0,Cowboys,0.137,50.00%,Daniel Ross,DT,0.3427205100956429,2019.0,daniel ross,daniel ross,daniel ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0034454,0.0,Dolphins,-0.201,31.30%,Jamiyus Pittman,DT,0.0722635494155154,2019.0,jamiyus pittman,jamiyus pittman,jamiyus pittman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0034434,0.0,Dolphins,-0.201,31.30%,Kendrick Norton,DT,0.2008501594048884,2019.0,kendrick norton,kedric golston,kedric golston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0032154,0.0,Falcons,-0.03,43.80%,Michael Bennett,DT,0.2167906482465462,2019.0,michael bennett,michael bennett,michael bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0034154,0.0,Falcons,-0.03,43.80%,Jacob Tuioti-Mariner,DT,0.1237747077577045,2019.0,jacob tuiotimariner,,jacob tuiotimariner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,00-0035004,15.787027900146844,Giants,-0.137,25.00%,Chris Slayton,DT,0.015471838469713,2019.0,chris slayton,zach clayton,zach clayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,00-0032138,0.0,Lions,-0.11,20.00%,Darius Kilgo,DT,0.2380446333687566,2019.0,darius kilgo,darius kilgo,darius kilgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0032578,0.0,Panthers,-0.146,31.30%,Woodrow Hamilton,DT,0.0890781083953241,2019.0,woodrow hamilton,woodrow hamilton,woodrow hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0034552,0.0,Panthers,-0.146,31.30%,Bijhon Jackson,DT,0.0722635494155154,2019.0,bijhon jackson,jordan jackson,jordan jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0033934,0.0,Seahawks,-0.001,66.70%,Nazair Jones,DT,0.4487630180658873,2019.0,nazair jones,nazair jones,nazair jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0035595,0.0,Seahawks,-0.001,66.70%,Demarcus Christmas,DT,0.258057917109458,2019.0,demarcus christmas,marcus thomas,marcus thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,00-0035459,0.0,Texans,-0.002,61.10%,Ira Lewis,DT,0.2009383634431455,2019.0,ira lewis,trey lewis,trey lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,00-0032633,0.0,Titans,0.084,57.90%,Reggie Gilbert,DT,0.3028692879914984,2019.0,reggie gilbert,,reggie gilbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0031551,139.4775454165486,Bears,-0.032,47.10%,Eddie Goldman,DT,1.8920282542885971,2020.0,eddie goldman,eddie goldman,eddie goldman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0035260,78.2981689020182,Bengals,-0.139,26.70%,Renell Wren,DT,0.300529263370333,2020.0,renell wren,renell wren,renell wren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,00-0034731,27.41474670043702,Bengals,-0.139,26.70%,Reginald McKenzie,DT,0.0181039354187689,2020.0,reginald mckenzie,,reginald mckenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0030455,128.3858578639131,Bills,0.134,79.00%,Star Lotulelei,DT,0.3784056508577195,2020.0,star lotulelei,star lotulelei,star lotulelei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,00-0032138,15.451533160793268,Broncos,-0.112,31.30%,Darius Kilgo,DT,0.0550958627648839,2020.0,darius kilgo,darius kilgo,darius kilgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,00-0033010,75.63843024540674,Browns,0.01,66.70%,Sheldon Day,DT,0.0060544904137235,2020.0,sheldon day,sheldon day,sheldon day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0033595,10.99928602142564,Buccaneers,0.186,75.00%,Pat O'Connor,DT,0.3784056508577195,2020.0,pat oconnor,patrick oconnor,patrick oconnor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0035674,307.8251035025631,Chargers,0.015,43.80%,Jerry Tillery,DT,1.30976034308779,2020.0,jerry tillery,jerry tillery,jerry tillery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0034359,153.98648221302437,Colts,0.092,64.70%,Tyquan Lewis,DT,0.6007780020181634,2020.0,tyquan lewis,trey lewis,trey lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0031254,0.0,Colts,0.092,64.70%,Denico Autry,DT,2.879036326942482,2020.0,denico autry,denico autry,denico autry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0034154,0.0,Falcons,-0.029,25.00%,Jacob Tuioti-Mariner,DT,0.3405650857719475,2020.0,jacob tuiotimariner,,jacob tuiotimariner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0032131,47.44485342940781,Jaguars,-0.217,6.30%,Rodney Gunter,DT,1.8263329969727544,2020.0,rodney gunter,rodney gunter,rodney gunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,00-0035312,15.99582217118425,Jaguars,-0.217,6.30%,Dontavius Russell,DT,0.2249223007063572,2020.0,dontavius russell,dontavius russell,dontavius russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0034461,0.0,Panthers,-0.068,31.30%,Bruce Hector,DT,0.0296670030272452,2020.0,bruce hector,bruce hector,bruce hector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0031089,7.73842108823221,Patriots,-0.071,43.80%,Beau Allen,DT,1.084762865792129,2020.0,beau allen,beau allen,beau allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0035179,0.0,Saints,0.14,72.20%,Jalen Dalton,DT,0.201816347124117,2020.0,jalen dalton,jalen dalton,jalen dalton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,00-0032409,53.54496117658509,Texans,-0.075,25.00%,Willie Henry,DT,0.012108980827447,2020.0,willie henry,willie henry,willie henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,00-0029627,12.022460579023264,Titans,0.058,64.70%,Jack Crawford,DT,0.4477800201816347,2020.0,jack crawford,jack crawford,jack crawford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,00-0035486,0.0,Titans,0.058,64.70%,Miles Brown,DT,0.0339051463168516,2020.0,miles brown,miles brown,miles brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,00-0034264,93.28921232341044,Vikings,-0.006,43.80%,Jalyn Holmes,DT,0.4706604439959637,2020.0,jalyn holmes,jalyn holmes,jalyn holmes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,00-0035004,12.925325241550336,49ers,0.081,60.00%,Chris Slayton,DT,0.0403287671232876,2021.0,chris slayton,zach clayton,zach clayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,00-0035802,0.0,49ers,0.081,60.00%,Darrion Daniels,DT,0.0907397260273972,2021.0,darrion daniels,darrion daniels,darrion daniels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0036065,0.0,Bears,-0.119,35.30%,Auzoyah Alufohai,DT,0.0201643835616438,2021.0,auzoyah alufohai,auzoyah alufohai,auzoyah alufohai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0036705,0.0,Bears,-0.119,35.30%,Sam Kamara,DT,0.0602728767123287,2021.0,sam kamara,sam kamara,sam kamara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,00-0030402,23.69967991851887,Broncos,0.016,41.20%,Akeem Spence,DT,0.0153424657534246,2021.0,akeem spence,akeem spence,akeem spence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0035969,0.0,Buccaneers,0.205,73.70%,Willington Prevlion,DT,0.0705753424657534,2021.0,willington prevlion,,willington prevlion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0036180,0.0,Buccaneers,0.205,73.70%,Kobe Smith,DT,0.0907397260273972,2021.0,kobe smith,robaire smith,robaire smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,00-0030883,0.0,Cardinals,0.141,61.10%,Josh Mauro,DT,0.0076712328767123,2021.0,josh mauro,josh mauro,josh mauro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0031071,16.228624301329848,Chargers,0.044,52.90%,Caraun Reid,DT,0.0613698630136986,2021.0,caraun reid,caraun reid,caraun reid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0034359,139.3327309780732,Colts,0.06,52.90%,Tyquan Lewis,DT,0.7612054794520549,2021.0,tyquan lewis,trey lewis,trey lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0036227,33.193273487147785,Colts,0.06,52.90%,Rob Windsor,DT,0.2273972602739726,2021.0,rob windsor,robert windsor,robert windsor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0035850,0.0,Colts,0.06,52.90%,Kameron Cline,DT,0.0907397260273972,2021.0,kameron cline,kameron cline,kameron cline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0031574,36.646341773614715,Commanders,-0.116,41.20%,Gabe Wright,DT,0.0403287671232876,2021.0,gabe wright,gabe wright,gabe wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0035796,0.0,Commanders,-0.116,41.20%,Tyler Clark,DT,0.0201643835616438,2021.0,tyler clark,tyler lacy,tyler lacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0036447,0.0,Commanders,-0.116,41.20%,David Bada,DT,0.0554520547945205,2021.0,david bada,david bada,david bada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanders,00-0035423,0.0,Commanders,-0.116,41.20%,Daniel Wise,DT,0.1607276712328767,2021.0,daniel wise,daniel wise,daniel wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0036537,0.0,Cowboys,0.173,66.70%,Josiah Bronson,DT,0.0050410958904109,2021.0,josiah bronson,josiah bronson,josiah bronson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0035727,0.0,Dolphins,-0.019,52.90%,Durval Neto,DT,0.0907397260273972,2021.0,durval neto,,durval neto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,00-0033963,25.969255171175742,Jets,-0.211,23.50%,Tanzel Smart,DT,0.0907397260273972,2021.0,tanzel smart,tanzel smart,tanzel smart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,00-0032727,0.0,Lions,-0.163,18.80%,Joel Heath,DT,0.2547945205479451,2021.0,joel heath,joel heath,joel heath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0036642,49.09804571651686,Packers,0.116,72.20%,Tedarrell Slaton,DT,0.4000712328767123,2021.0,tedarrell slaton,terrell mcclain,terrell mcclain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0036170,0.0,Panthers,-0.101,29.40%,Mike Panasiuk,DT,0.2273972602739726,2021.0,mike panasiuk,,mike panasiuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0035278,47.93618693090502,Patriots,0.133,55.60%,Byron Cowart,DT,0.5069309589041096,2021.0,byron cowart,byron cowart,byron cowart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0036093,0.0,Patriots,0.133,55.60%,Bill Murray,DT,0.0907397260273972,2021.0,bill murray,,bill murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,00-0035540,15.71151288193898,Raiders,-0.062,55.60%,P.J. Johnson,DT,0.0403287671232876,2021.0,pj johnson,ed johnson,ed johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0036581,0.0,Ravens,-0.069,47.10%,Xavier Kelly,DT,0.2277621917808219,2021.0,xavier kelly,,xavier kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0036191,0.0,Ravens,-0.069,47.10%,Aaron Crawford,DT,0.2273972602739726,2021.0,aaron crawford,aaron crawford,aaron crawford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0034731,24.80588862053328,Ravens,-0.069,47.10%,Reginald McKenzie,DT,0.0100821917808219,2021.0,reginald mckenzie,,reginald mckenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0034264,84.41157000932313,Saints,0.038,52.90%,Jalyn Holmes,DT,0.3920849315068493,2021.0,jalyn holmes,jalyn holmes,jalyn holmes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0030986,0.0,Saints,0.038,52.90%,Ethan Westbrooks,DT,0.0153424657534246,2021.0,ethan westbrooks,ethan westbrooks,ethan westbrooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0035179,0.0,Saints,0.038,52.90%,Jalen Dalton,DT,0.2273972602739726,2021.0,jalen dalton,jalen dalton,jalen dalton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0036805,0.0,Seahawks,0.018,41.20%,Jarrod Hewitt,DT,0.0907397260273972,2021.0,jarrod hewitt,,jarrod hewitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0034077,0.0,Seahawks,0.018,41.20%,Niles Scott,DT,0.0252054794520547,2021.0,niles scott,niles scott,niles scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0036063,0.0,Seahawks,0.018,41.20%,Marcus Webb,DT,0.2273972602739726,2021.0,marcus webb,demarcus dobbs,demarcus dobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0036430,32.83476653834535,Steelers,-0.057,52.90%,Khalil Davis,DT,0.0504109589041095,2021.0,khalil davis,khalil davis,khalil davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0035595,22.9484648183253,Steelers,-0.057,52.90%,Demarcus Christmas,DT,0.2410958904109589,2021.0,demarcus christmas,marcus thomas,marcus thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texans,00-0033782,155.21765756118307,Texans,-0.211,23.50%,DeMarcus Walker,DT,0.7961320547945205,2021.0,demarcus walker,demarcus walker,demarcus walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,00-0032566,0.0,Titans,0.043,66.70%,Trevon Coley,DT,0.2547945205479451,2021.0,trevon coley,trevon coley,trevon coley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,00-0036651,33.15690244709837,Vikings,0.022,47.10%,Jaylen Twyman,DT,0.2513621917808219,2021.0,jaylen twyman,,jaylen twyman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,00-0036820,0.0,Vikings,0.022,47.10%,Jordon Scott,DT,0.2273972602739726,2021.0,jordon scott,darrion scott,darrion scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,00-0034746,48.9818411557672,49ers,0.196,75.00%,Maurice Hurst,DT,0.4538904899135446,2022.0,maurice hurst,maurice hurst,maurice hurst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,00-0037832,23.142823576345563,49ers,0.196,75.00%,Kalia Davis,DT,0.2223842459173871,2022.0,kalia davis,kalia davis,kalia davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,00-0032566,0.0,Bears,-0.162,17.70%,Trevon Coley,DT,0.1720461095100864,2022.0,trevon coley,trevon coley,trevon coley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0035315,12.186390108531258,Bills,0.156,77.80%,Cortez Broughton,DT,0.036983669548511,2022.0,cortez broughton,cortez broughton,cortez broughton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0037431,0.0,Bills,0.156,77.80%,Kingsley Jonathan,DT,0.0441882804995196,2022.0,kingsley jonathan,,kingsley jonathan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,00-0033598,0.0,Bills,0.156,77.80%,Eli Ankou,DT,0.1035542747358309,2022.0,eli ankou,eli ankou,eli ankou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,00-0036705,0.0,Browns,-0.016,41.20%,Sam Kamara,DT,0.0773294908741594,2022.0,sam kamara,sam kamara,sam kamara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0037627,0.0,Buccaneers,-0.004,44.40%,Mike Greene,DT,0.0994236311239193,2022.0,mike greene,mike greene,mike greene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,00-0035969,0.0,Buccaneers,-0.004,44.40%,Willington Prevlion,DT,0.0994236311239193,2022.0,willington prevlion,,willington prevlion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0036789,0.0,Chargers,-0.005,55.60%,Carlo Kemp,DT,0.0994236311239193,2022.0,carlo kemp,,carlo kemp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0036191,0.0,Chargers,-0.005,55.60%,Aaron Crawford,DT,0.0165706051873198,2022.0,aaron crawford,aaron crawford,aaron crawford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,00-0036780,0.0,Chargers,-0.005,55.60%,Forrest Merrill,DT,0.2185398655139289,2022.0,forrest merrill,forrest merrill,forrest merrill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,00-0035423,0.0,Chiefs,0.18,85.00%,Daniel Wise,DT,0.0055235350624399,2022.0,daniel wise,daniel wise,daniel wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0036420,102.36676282221002,Colts,-0.136,25.00%,McTelvin Agim,DT,0.0220941402497598,2022.0,mctelvin agim,mctelvin agim,mctelvin agim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,00-0035850,0.0,Colts,-0.136,25.00%,Kameron Cline,DT,0.037624399615754,2022.0,kameron cline,kameron cline,kameron cline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,00-0035390,0.0,Cowboys,0.118,68.40%,Anthony Rush,DT,0.0295869356388088,2022.0,anthony rush,anthony rush,anthony rush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,00-0036651,30.001606000302676,Dolphins,0.032,50.00%,Jaylen Twyman,DT,0.0718059558117195,2022.0,jaylen twyman,,jaylen twyman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,00-0037134,0.0,Eagles,0.163,80.00%,Noah Elliss,DT,0.1168746397694524,2022.0,noah elliss,,noah elliss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0033469,18.020101944674707,Falcons,-0.061,41.20%,Vincent Taylor,DT,0.3037944284341978,2022.0,vincent taylor,vincent taylor,vincent taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0037589,0.0,Falcons,-0.061,41.20%,Derrick Tangelo,DT,0.0994236311239193,2022.0,derrick tangelo,,derrick tangelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,00-0036180,0.0,Falcons,-0.061,41.20%,Kobe Smith,DT,0.0607588856868395,2022.0,kobe smith,robaire smith,robaire smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,00-0036954,245.93180211566457,Lions,-0.011,52.90%,Levi Onwuzurike,DT,0.8895393852065323,2022.0,levi onwuzurike,levi onwuzurike,levi onwuzurike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0036642,44.42574891674462,Packers,-0.014,47.10%,Tedarrell Slaton,DT,0.4299375600384246,2022.0,tedarrell slaton,terrell mcclain,terrell mcclain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0037094,17.99566226138032,Packers,-0.014,47.10%,Jonathan Ford,DT,0.3507550432276657,2022.0,jonathan ford,jonathan ford,jonathan ford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0035004,11.695317918839422,Packers,-0.014,47.10%,Chris Slayton,DT,0.0994236311239193,2022.0,chris slayton,zach clayton,zach clayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,00-0036007,0.0,Panthers,-0.046,41.20%,Raequan Williams,DT,0.0662824207492795,2022.0,raequan williams,raequan williams,raequan williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0037711,0.0,Patriots,0.038,47.10%,Jeremiah Pharms,DT,0.0994236311239193,2022.0,jeremiah pharms,jeremiah pharms,jeremiah pharms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0037203,0.0,Patriots,0.038,47.10%,LaBryan Ray,DT,0.0994236311239193,2022.0,labryan ray,labryan ray,labryan ray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,00-0036093,0.0,Patriots,0.038,47.10%,Bill Murray,DT,0.0994236311239193,2022.0,bill murray,,bill murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,00-0037513,0.0,Raiders,-0.059,35.30%,Myron Tagovailoa-Amosa,DT,0.0994236311239193,2022.0,myron tagovailoaamosa,,myron tagovailoaamosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0036430,29.710125376369927,Rams,-0.098,29.40%,Khalil Davis,DT,0.0220941402497598,2022.0,khalil davis,khalil davis,khalil davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0035933,0.0,Rams,-0.098,29.40%,Mike Hoecht,DT,0.3962536023054755,2022.0,mike hoecht,michael hoecht,michael hoecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0031615,7.514366539929533,Ravens,0.006,55.60%,Christian Ringo,DT,0.0147934678194044,2022.0,christian ringo,christian ringo,christian ringo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0034731,22.445296211490923,Ravens,0.006,55.60%,Reginald McKenzie,DT,0.0994236311239193,2022.0,reginald mckenzie,,reginald mckenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0037294,36.288029079982685,Saints,-0.002,41.20%,Jordan Jackson,DT,0.0994236311239193,2022.0,jordan jackson,jordan jackson,jordan jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,00-0037660,0.0,Saints,-0.002,41.20%,Prince Emili,DT,0.0441882804995196,2022.0,prince emili,prince emili,prince emili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
