team,player_id_x,adjusted_value,Team,Net EPA,Win %,Player,Position,Cap_Space,year,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0,player,team_name,position,snap_counts_defense,player_id_y,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_fs,snap_counts_box,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,Year,weighted_grade,weighted_average_grade,merge_player_y
Eagles,00-0030080,76.34256888458827,Eagles,0.11,58.80%,Earl Wolff,SS/S,0.3705501618122977,2013.0,earl wolff,earl wolff,earl wolff,589.0,Earl Wolff,PHI,S,525.0,7918.0,11.0,9.0,0.0,0.0,24.0,0.0,48.5,54.8,83.5,81.6,1.0,0.0,8.2,4.0,1.0,0.0,112.2,20.0,349.0,130.0,326.0,46.0,6.0,36.0,0.0,30.0,2.0,333.0,2013.0,28770.0,MISSING,earl wolff
Eagles,00-0027835,11.798538590921076,Eagles,0.11,58.80%,Kurt Coleman,FS/S,0.8987394822006473,2013.0,kurt coleman,kurt coleman,kurt coleman,524.0,Kurt Coleman,PHI,S,74.0,5767.0,6.0,2.0,0.0,0.0,24.0,0.0,60.0,64.3,77.5,83.8,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.0,25.0,20.0,43.0,27.0,2.0,6.0,0.0,6.0,0.0,48.0,2013.0,4758.2,MISSING,kurt coleman
Eagles,00-0029974,0.0,Eagles,0.11,58.80%,Keelan Johnson,SS/S,0.0728155339805825,2013.0,keelan johnson,keelan johnson,keelan johnson,597.0,Keelan Johnson,PHI,S,12.0,8065.0,1.0,0.0,0.0,0.0,24.0,0.0,61.4,65.4,70.1,75.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2013.0,784.8000000000001,MISSING,keelan johnson
Eagles,00-0029974,0.0,Eagles,0.11,58.80%,Keelan Johnson,SS/S,0.0439449838187702,2013.0,keelan johnson,keelan johnson,keelan johnson,597.0,Keelan Johnson,PHI,S,12.0,8065.0,1.0,0.0,0.0,0.0,24.0,0.0,61.4,65.4,70.1,75.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2013.0,784.8000000000001,MISSING,keelan johnson
Eagles,00-0026578,0.0,Eagles,0.11,58.80%,Colt Anderson,SS/S,0.8090614886731391,2013.0,colt anderson,colt anderson,colt anderson,508.0,Colt Anderson,PHI,S,39.0,5242.0,5.0,1.0,0.0,0.0,24.0,0.0,57.6,52.9,86.7,25.2,0.0,0.0,66.7,4.0,1.0,0.0,39.6,0.0,15.0,13.0,24.0,9.0,0.0,1.0,0.0,2.0,0.0,0.0,2013.0,2063.1,MISSING,colt anderson
Falcons,00-0027031,145.7746709770495,Falcons,-0.1,25.00%,William Moore,SS/S,3.155339805825242,2013.0,william moore,william moore,william moore,501.0,William Moore,ATL,S,1043.0,4978.0,16.0,8.0,0.0,2.0,2.0,2.0,62.7,65.2,14.8,58.2,3.0,0.0,17.9,17.0,1.0,3.0,80.8,27.0,735.0,266.0,574.0,36.0,20.0,70.0,4.0,39.0,2.0,337.0,2013.0,68003.6,MISSING,william moore
Falcons,00-0030427,16.065694566813512,Falcons,-0.1,25.00%,Kemal Ishmael,SS,0.3369530744336569,2013.0,kemal ishmael,kemal ishmael,kemal ishmael,593.0,Kemal Ishmael,ATL,S,3.0,8026.0,1.0,0.0,0.0,0.0,2.0,0.0,60.0,60.3,66.9,MISSING,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,180.9,MISSING,kemal ishmael
Falcons,00-0029177,0.0,Falcons,-0.1,25.00%,Sean Baker,FS/S,0.0192742718446601,2013.0,sean baker,sean baker,sean baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,00-0023443,117.25896767695144,Giants,-0.09,43.80%,Antrel Rolle,SS/S,7.483818770226537,2013.0,antrel rolle,antrel rolle,antrel rolle,464.0,Antrel Rolle,NYG,S,1126.0,2225.0,16.0,12.0,1.0,1.0,21.0,1.0,81.5,81.7,21.7,60.1,6.0,0.0,11.3,11.0,2.0,5.0,43.1,39.0,562.0,267.0,665.0,285.0,29.0,74.0,2.0,62.0,1.0,339.0,2013.0,91994.2,MISSING,antrel rolle
Giants,00-0030087,63.75451994262094,Giants,-0.09,43.80%,Cooper Taylor,FS/S,0.365544498381877,2013.0,cooper taylor,cooper taylor,cooper taylor,590.0,Cooper Taylor,NYG,S,5.0,7934.0,2.0,0.0,0.0,0.0,21.0,0.0,60.9,52.8,66.8,27.2,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,264.0,MISSING,cooper taylor
Giants,00-0026334,18.020101944674707,Giants,-0.09,43.80%,Ryan Mundy,SS/S,0.5016181229773463,2013.0,ryan mundy,ryan mundy,ryan mundy,494.0,Ryan Mundy,NYG,S,654.0,4508.0,13.0,12.0,0.0,0.0,21.0,1.0,55.5,62.5,85.5,83.3,1.0,0.0,6.8,5.0,0.0,0.0,113.1,21.0,341.0,226.0,369.0,77.0,21.0,56.0,3.0,30.0,3.0,239.0,2013.0,40875.0,MISSING,ryan mundy
Giants,00-0029407,0.0,Giants,-0.09,43.80%,Will Hill,SS/S,0.2969733009708737,2013.0,will hill,will hill,will hill,551.0,Will Hill III,NYG,S,766.0,6999.0,12.0,6.0,0.0,2.0,21.0,1.0,89.0,88.9,53.9,88.6,2.0,1.0,6.3,4.0,0.0,2.0,62.0,19.0,578.0,126.0,467.0,60.0,16.0,54.0,1.0,31.0,1.0,186.0,2013.0,68097.40000000001,MISSING,will hill
Jaguars,00-0030538,310.16426883281133,Jaguars,-0.24,25.00%,Johnathan Cyprien,SS/S,0.8045161812297734,2013.0,johnathan cyprien,johnathan cyprien,johnathan cyprien,582.0,Johnathan Cyprien,JAX,S,1044.0,7814.0,15.0,15.0,0.0,2.0,15.0,0.0,28.8,35.0,86.2,75.7,1.0,0.0,10.4,12.0,3.0,3.0,111.8,33.0,676.0,276.0,589.0,85.0,23.0,88.0,1.0,52.0,5.0,409.0,2013.0,36540.0,MISSING,johnathan cyprien
Jaguars,00-0028059,74.08475097240371,Jaguars,-0.24,25.00%,Chris Prosinski,SS/S,0.5825558252427185,2013.0,chris prosinski,chris prosinski,chris prosinski,540.0,Chris Prosinski,JAX,S,82.0,6273.0,8.0,1.0,0.0,0.0,15.0,0.0,66.9,68.8,77.2,38.9,0.0,0.0,40.0,4.0,1.0,0.0,87.5,2.0,45.0,31.0,32.0,4.0,2.0,5.0,0.0,5.0,1.0,12.0,2013.0,5641.599999999999,MISSING,chris prosinski
Jaguars,00-0030557,51.512926213575746,Jaguars,-0.24,25.00%,Josh Evans,SS/S,0.3537257281553398,2013.0,josh evans,josh evans,josh evans,591.0,Josh Evans,JAX,S,675.0,7951.0,15.0,10.0,0.0,0.0,15.0,0.0,39.5,45.3,22.8,50.5,0.0,0.0,16.7,11.0,1.0,3.0,156.9,17.0,508.0,139.0,364.0,27.0,9.0,45.0,0.0,20.0,3.0,243.0,2013.0,30577.499999999996,MISSING,josh evans
Jaguars,00-0029142,39.58305260397674,Jaguars,-0.24,25.00%,Winston Guy,FS/S,0.3883495145631068,2013.0,winston guy,winston guy,winston guy,560.0,Winston Guy,JAX,S,353.0,7171.0,11.0,3.0,0.0,1.0,15.0,0.0,44.9,43.4,0.0,44.7,0.0,0.0,24.0,6.0,0.0,3.0,147.0,9.0,292.0,41.0,231.0,20.0,4.0,16.0,0.0,14.0,4.0,174.0,2013.0,15320.2,MISSING,winston guy
Jets,00-0027992,180.72008729049935,Jets,-0.1,50.00%,Jaiquawn Jarrett,FS/S,0.3883495145631068,2013.0,jaiquawn jarrett,jaiquawn jarrett,jaiquawn jarrett,537.0,Jaiquawn Jarrett,NYJ,S,276.0,6206.0,16.0,3.0,0.0,0.0,22.0,0.0,63.0,66.9,82.9,54.1,0.0,0.0,18.2,4.0,0.0,0.0,122.2,11.0,126.0,101.0,177.0,46.0,9.0,15.0,1.0,18.0,2.0,139.0,2013.0,18464.4,MISSING,jaiquawn jarrett
Jets,00-0029143,36.30029815038268,Jets,-0.1,50.00%,Josh Bush,SS/S,0.4094296116504854,2013.0,josh bush,josh bush,josh bush,561.0,Josh Bush,NYJ,S,62.0,7176.0,8.0,2.0,0.0,1.0,22.0,0.0,62.8,71.7,76.8,66.9,0.0,0.0,11.1,1.0,0.0,1.0,91.0,2.0,34.0,19.0,37.0,8.0,2.0,6.0,1.0,3.0,0.0,24.0,2013.0,4445.400000000001,MISSING,josh bush
Lions,00-0027009,207.9093269626205,Lions,0.03,43.80%,Louis Delmas,FS/S,0.983009708737864,2013.0,louis delmas,louis delmas,louis delmas,497.0,Louis Delmas,DET,S,1019.0,4956.0,16.0,10.0,0.0,0.0,11.0,0.0,67.5,64.5,15.5,47.6,3.0,0.0,17.8,13.0,2.0,3.0,79.8,14.0,759.0,199.0,628.0,57.0,19.0,50.0,3.0,32.0,4.0,313.0,2013.0,65725.5,MISSING,louis delmas
Lions,00-0027081,67.7462591094527,Lions,0.03,43.80%,Glover Quin,FS/S,1.6585760517799353,2013.0,glover quin,glover quin,glover quin,503.0,Glover Quin,DET,S,991.0,5035.0,16.0,12.0,1.0,1.0,11.0,1.0,78.6,78.9,60.5,72.5,3.0,0.0,13.2,9.0,5.0,1.0,30.7,16.0,699.0,222.0,620.0,66.0,19.0,47.0,2.0,32.0,0.0,200.0,2013.0,78189.90000000001,MISSING,glover quin
Lions,00-0027124,30.88315436110615,Lions,0.03,43.80%,Don Carey,SS/S,0.7119741100323626,2013.0,don carey,don carey,don carey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0027676,127.02865660722112,Packers,-0.04,50.00%,Morgan Burnett,SS/S,2.582342233009709,2013.0,morgan burnett,morgan burnett,morgan burnett,516.0,Morgan Burnett,GB,S,919.0,5596.0,14.0,19.0,0.0,0.0,12.0,3.0,48.1,54.8,86.3,80.9,0.0,0.0,10.1,11.0,5.0,2.0,135.8,30.0,541.0,267.0,534.0,107.0,31.0,79.0,1.0,42.0,4.0,428.0,2013.0,50361.2,MISSING,morgan burnett
Packers,00-0030090,58.54939093308889,Packers,-0.04,50.00%,Micah Hyde,SS,0.3636949838187702,2013.0,micah hyde,micah hyde,micah hyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,00-0029201,0.0,Packers,-0.04,50.00%,Sean Richardson,SS/S,0.3896982200647249,2013.0,sean richardson,sean richardson,sean richardson,575.0,Sean Richardson,GB,S,173.0,7456.0,7.0,1.0,0.0,0.0,12.0,0.0,60.9,62.6,79.0,75.6,0.0,0.0,6.7,1.0,0.0,0.0,84.7,1.0,113.0,40.0,102.0,17.0,4.0,13.0,1.0,3.0,1.0,11.0,2013.0,10829.8,MISSING,sean richardson
Panthers,00-0027023,165.28521903155865,Panthers,0.15,70.60%,Mike Mitchell,FS/S,0.8090614886731391,2013.0,mike mitchell,mike mitchell,mike mitchell,500.0,Mike Mitchell,CAR,S,964.0,4970.0,16.0,10.0,0.0,2.0,5.0,0.0,73.1,71.7,40.0,42.6,4.0,0.0,23.4,18.0,2.0,3.0,51.5,29.0,746.0,166.0,610.0,49.0,13.0,49.0,1.0,43.0,1.0,250.0,2013.0,69118.8,MISSING,mike mitchell
Panthers,00-0026207,89.81164818538464,Panthers,0.15,70.60%,Charles Godfrey,SS/S,2.9935275080906147,2013.0,charles godfrey,charles godfrey,charles godfrey,487.0,Charles Godfrey,CAR,S,112.0,4381.0,2.0,1.0,0.0,0.0,5.0,0.0,51.8,49.2,76.7,54.1,0.0,0.0,18.2,2.0,2.0,0.0,89.6,2.0,87.0,19.0,60.0,5.0,2.0,8.0,0.0,4.0,0.0,44.0,2013.0,5510.400000000001,MISSING,charles godfrey
Panthers,00-0028128,31.338309879825605,Panthers,0.15,70.60%,Colin Jones,FS/S,0.4490291262135922,2013.0,colin jones,colin jones,colin jones,545.0,Colin Jones,CAR,S,35.0,6342.0,5.0,0.0,0.0,0.0,5.0,0.0,69.7,65.1,72.7,23.8,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,30.0,1.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,2278.5,MISSING,colin jones
Panthers,00-0030254,0.0,Panthers,0.15,70.60%,Robert Lester,SS/S,0.2891205501618122,2013.0,robert lester,robert lester,robert lester,596.0,Robert Lester,CAR,S,331.0,8045.0,11.0,3.0,0.0,0.0,5.0,1.0,71.3,70.7,81.4,70.9,3.0,0.0,9.5,2.0,1.0,0.0,57.1,6.0,234.0,57.0,218.0,37.0,3.0,16.0,0.0,13.0,1.0,95.0,2013.0,23401.7,MISSING,robert lester
Patriots,00-0027647,256.8454650908041,Patriots,0.02,72.20%,Devin McCourty,FS/S,1.4927184466019416,2013.0,devin mccourty,devin mccourty,devin mccourty,512.0,Devin McCourty,NE,S,1164.0,5552.0,17.0,8.0,0.0,2.0,19.0,1.0,86.0,85.1,85.3,88.2,1.0,0.0,7.3,6.0,7.0,1.0,104.2,23.0,994.0,95.0,700.0,41.0,14.0,68.0,2.0,37.0,3.0,307.0,2013.0,99056.4,MISSING,devin mccourty
Patriots,00-0029410,219.1991873753312,Patriots,0.02,72.20%,Tavon Wilson,SS/S,0.7756173139158576,2013.0,tavon wilson,tavon wilson,tavon wilson,553.0,Tavon Wilson,NE,S,20.0,7051.0,5.0,1.0,0.0,0.0,19.0,0.0,71.3,74.2,75.6,77.0,1.0,1.0,0.0,0.0,0.0,0.0,11.1,1.0,5.0,8.0,15.0,7.0,0.0,1.0,0.0,3.0,0.0,15.0,2013.0,1484.0,MISSING,tavon wilson
Patriots,00-0030383,131.86726503866296,Patriots,0.02,72.20%,Duron Harmon,SS/S,0.4355987055016181,2013.0,duron harmon,duron harmon,duron harmon,587.0,Duron Harmon,NE,S,430.0,7872.0,15.0,3.0,0.0,0.0,19.0,0.0,66.0,65.9,80.9,57.6,2.0,0.0,15.2,5.0,1.0,0.0,80.2,12.0,362.0,44.0,267.0,13.0,4.0,25.0,0.0,16.0,1.0,132.0,2013.0,28337.000000000004,MISSING,duron harmon
Patriots,00-0029570,31.238027957504748,Patriots,0.02,72.20%,Nate Ebner,FS/S,0.4078883495145631,2013.0,nate ebner,nate ebner,nate ebner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,00-0026240,58.2918064610129,Raiders,-0.13,25.00%,Tyvon Branch,SS/S,3.132686084142395,2013.0,tyvon branch,tyvon branch,tyvon branch,489.0,Tyvon Branch,OAK,S,64.0,4414.0,2.0,1.0,0.0,0.0,23.0,0.0,55.0,63.0,77.5,54.2,0.0,0.0,20.0,1.0,0.0,0.0,70.1,2.0,29.0,28.0,35.0,6.0,2.0,3.0,0.0,3.0,0.0,4.0,2013.0,4032.0,MISSING,tyvon branch
Raiders,00-0018227,17.295081968341126,Raiders,-0.13,25.00%,Charles Woodson,SS/S,1.4563106796116505,2013.0,charles woodson,charles woodson,charles woodson,455.0,Charles Woodson,OAK,S,1068.0,330.0,16.0,10.0,0.0,2.0,23.0,2.0,71.3,73.2,84.0,62.3,1.0,0.0,14.7,16.0,3.0,0.0,119.2,30.0,925.0,99.0,620.0,37.0,22.0,83.0,3.0,38.0,3.0,339.0,2013.0,78177.6,73.71728247914184,charles woodson
Rams,00-0030530,171.47075093580506,Rams,-0.05,43.80%,T.J. McDonald,FS/S,0.4587378640776698,2013.0,tj mcdonald,tj mcdonald,tj mcdonald,584.0,T.J. McDonald,SL,S,650.0,7852.0,10.0,6.0,0.0,0.0,26.0,0.0,59.4,54.7,48.0,62.2,1.0,0.0,17.5,11.0,1.0,1.0,115.4,20.0,365.0,204.0,370.0,70.0,15.0,46.0,4.0,26.0,2.0,247.0,2013.0,35555.0,MISSING,tj mcdonald
Rams,00-0029764,0.0,Rams,-0.05,43.80%,Cody Davis,FS/S,0.2505703883495145,2013.0,cody davis,cody davis,cody davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0028871,0.0,Rams,-0.05,43.80%,Matt Daniels,FS/S,0.3910461165048544,2013.0,matt daniels,matt daniels,matt daniels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,00-0028899,0.0,Rams,-0.05,43.80%,Rodney McLeod,FS,0.3894279935275081,2013.0,rodney mcleod,rodney mcleod,rodney mcleod,566.0,Rodney McLeod,SL,S,1061.0,7271.0,16.0,6.0,0.0,1.0,26.0,2.0,54.7,53.2,85.5,41.5,2.0,0.0,17.0,16.0,5.0,0.0,81.3,37.0,688.0,112.0,626.0,253.0,19.0,72.0,3.0,54.0,1.0,407.0,2013.0,56445.2,MISSING,rodney mcleod
Rams,00-0027256,0.0,Rams,-0.05,43.80%,Darian Stewart,FS/S,0.8090614886731391,2013.0,darian stewart,darian stewart,darian stewart,529.0,Darian Stewart,SL,S,568.0,5820.0,13.0,6.0,0.0,1.0,26.0,1.0,72.3,70.3,43.4,35.0,0.0,0.0,26.5,13.0,2.0,1.0,85.2,9.0,332.0,171.0,369.0,57.0,11.0,30.0,1.0,20.0,1.0,139.0,2013.0,39930.4,MISSING,darian stewart
Ravens,00-0030559,315.2391517065179,Ravens,-0.09,50.00%,Matt Elam,SS/S,0.9954401294498382,2013.0,matt elam,matt elam,matt elam,581.0,Matt Elam,BLT,S,1011.0,7813.0,16.0,11.0,0.0,0.0,3.0,2.0,39.7,50.9,85.1,69.0,1.0,0.0,13.1,11.0,0.0,2.0,117.5,23.0,743.0,172.0,591.0,87.0,14.0,62.0,5.0,34.0,2.0,422.0,2013.0,51459.9,MISSING,matt elam
Ravens,00-0025555,19.31410194474328,Ravens,-0.09,50.00%,Corey Graham,FS/S,2.144012944983819,2013.0,corey graham,corey graham,corey graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0030020,0.0,Ravens,-0.09,50.00%,Brynden Trawick,SS/S,0.1734716828478964,2013.0,brynden trawick,brynden trawick,brynden trawick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,00-0025753,0.0,Ravens,-0.09,50.00%,James Ihedigbo,SS/S,0.5016181229773463,2013.0,james ihedigbo,james ihedigbo,james ihedigbo,486.0,James Ihedigbo,BLT,S,1072.0,4147.0,16.0,12.0,0.0,2.0,3.0,1.0,48.6,63.1,68.5,54.2,3.0,0.0,16.5,18.0,4.0,2.0,66.9,28.0,705.0,261.0,604.0,93.0,32.0,79.0,5.0,44.0,1.0,344.0,2013.0,67643.2,MISSING,james ihedigbo
Ravens,00-0027244,0.0,Ravens,-0.09,50.00%,Jeromy Miles,SS/S,0.8814959546925566,2013.0,jeromy miles,jeromy miles,jeromy miles,528.0,Jeromy Miles,BLT,S,10.0,5810.0,4.0,0.0,0.0,0.0,3.0,0.0,60.8,48.6,70.0,23.8,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,486.0,MISSING,jeromy miles
Saints,00-0030060,457.4940992929473,Saints,0.16,66.70%,Kenny Vaccaro,SS/S,1.3863948220064723,2013.0,kenny vaccaro,kenny vaccaro,kenny vaccaro,579.0,Kenny Vaccaro,NO,S,793.0,7796.0,14.0,9.0,0.0,1.0,20.0,0.0,64.0,66.9,0.0,86.8,1.0,0.0,3.8,3.0,6.0,4.0,86.7,28.0,238.0,260.0,434.0,273.0,27.0,68.0,6.0,44.0,2.0,274.0,2013.0,53051.7,MISSING,kenny vaccaro
Saints,00-0026990,315.77825543063454,Saints,0.16,66.70%,Malcolm Jenkins,FS/S,3.262135922330097,2013.0,malcolm jenkins,malcolm jenkins,malcolm jenkins,496.0,Malcolm Jenkins,NO,S,938.0,4937.0,16.0,10.0,0.0,2.0,20.0,0.0,65.4,63.3,14.3,54.2,2.0,0.0,20.7,18.0,3.0,4.0,101.8,39.0,454.0,157.0,535.0,314.0,17.0,59.0,5.0,52.0,2.0,504.0,2013.0,59375.399999999994,MISSING,malcolm jenkins
Saints,00-0024258,71.54765619367551,Saints,0.16,66.70%,Roman Harper,SS/S,2.9611650485436893,2013.0,roman harper,roman harper,roman harper,470.0,Roman Harper,NO,S,482.0,2988.0,11.0,5.0,0.0,0.0,20.0,1.0,61.0,61.6,88.6,81.4,1.0,0.0,8.3,4.0,0.0,0.0,90.0,22.0,157.0,205.0,284.0,111.0,19.0,39.0,0.0,32.0,1.0,255.0,2013.0,29691.2,MISSING,roman harper
Saints,00-0027195,0.0,Saints,0.16,66.70%,Rafael Bush,FS/S,0.4490291262135922,2013.0,rafael bush,rafael bush,rafael bush,525.0,Rafael Bush,NO,S,592.0,5779.0,15.0,10.0,0.0,0.0,20.0,1.0,68.0,66.7,43.9,90.8,0.0,0.0,2.2,1.0,2.0,1.0,81.9,6.0,488.0,83.0,404.0,17.0,6.0,34.0,1.0,12.0,0.0,110.0,2013.0,39486.4,MISSING,rafael bush
Seahawks,00-0027866,348.9889444626007,Seahawks,0.22,84.20%,Earl Thomas,FS/S,2.3448341423948222,2013.0,earl thomas,earl thomas,earl thomas,511.0,Earl Thomas III,SEA,S,1208.0,5539.0,19.0,17.0,0.0,2.0,29.0,0.0,89.1,81.3,43.3,76.8,5.0,0.0,11.1,14.0,3.0,4.0,92.7,25.0,1081.0,78.0,752.0,48.0,20.0,95.0,0.0,40.0,5.0,370.0,2013.0,98210.4,MISSING,earl thomas
Seahawks,00-0027711,75.56985331645403,Seahawks,0.22,84.20%,Walter Thurmond,FS/S,0.4916173139158576,2013.0,walter thurmond,walter thurmond,walter thurmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,00-0027733,58.659917243869685,Seahawks,0.22,84.20%,Kam Chancellor,SS/S,3.1378656957928803,2013.0,kam chancellor,kam chancellor,kam chancellor,519.0,Kam Chancellor,SEA,S,1199.0,5656.0,19.0,21.0,0.0,1.0,29.0,0.0,89.3,86.9,11.0,87.2,5.0,0.0,7.2,9.0,4.0,6.0,49.9,40.0,490.0,500.0,736.0,191.0,40.0,95.0,4.0,60.0,1.0,308.0,2013.0,104193.1,MISSING,kam chancellor
Seahawks,00-0027378,0.0,Seahawks,0.22,84.20%,Chris Maragos,FS/S,0.772653721682848,2013.0,chris maragos,chris maragos,chris maragos,530.0,Chris Maragos,SEA,S,53.0,5906.0,10.0,0.0,0.0,0.0,29.0,0.0,59.1,56.1,73.8,56.5,0.0,0.0,25.0,1.0,0.0,0.0,158.3,1.0,48.0,3.0,44.0,0.0,1.0,3.0,0.0,1.0,1.0,21.0,2013.0,2973.3,MISSING,chris maragos
Seahawks,00-0028441,0.0,Seahawks,0.22,84.20%,Jeron Johnson,SS/S,0.4530744336569579,2013.0,jeron johnson,jeron johnson,jeron johnson,546.0,Jeron Johnson,SEA,S,29.0,6621.0,5.0,1.0,0.0,0.0,29.0,0.0,57.6,59.3,87.8,79.1,0.0,0.0,0.0,0.0,0.0,0.0,118.8,1.0,14.0,11.0,20.0,3.0,0.0,1.0,0.0,1.0,0.0,30.0,2013.0,1719.6999999999998,MISSING,jeron johnson
Steelers,00-0030412,102.00863208644208,Steelers,-0.01,50.00%,Shamarko Thomas,SS/S,0.4193268608414239,2013.0,shamarko thomas,shamarko thomas,shamarko thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,00-0022900,15.257290249958928,Steelers,-0.01,50.00%,Will Allen,SS/S,0.4797257281553397,2013.0,will allen,will allen,will allen,461.0,Will Allen,PIT,S,534.0,1832.0,13.0,6.0,0.0,1.0,25.0,1.0,53.2,57.1,84.1,52.7,2.0,0.0,18.4,9.0,2.0,0.0,111.2,27.0,325.0,121.0,389.0,77.0,11.0,34.0,1.0,38.0,3.0,415.0,2013.0,30491.4,MISSING,will allen
Steelers,00-0028954,0.0,Steelers,-0.01,50.00%,Robert Golden,FS/S,0.3896982200647249,2013.0,robert golden,robert golden,robert golden,570.0,Robert Golden,PIT,S,51.0,7303.0,6.0,0.0,0.0,0.0,25.0,0.0,46.1,43.3,75.3,75.2,0.0,0.0,0.0,0.0,0.0,0.0,95.8,1.0,33.0,7.0,41.0,8.0,0.0,1.0,0.0,2.0,0.0,51.0,2013.0,2208.2999999999997,MISSING,robert golden
Texans,00-0030566,210.92207055248576,Texans,-0.13,12.50%,D.J. Swearinger,FS/S,0.5135776699029126,2013.0,dj swearinger,dj swearinger,dj swearinger,583.0,D.J. Swearinger Sr.,HST,S,797.0,7838.0,16.0,10.0,0.0,1.0,13.0,0.0,59.2,57.9,0.0,66.9,1.0,0.0,13.4,11.0,3.0,4.0,96.1,32.0,226.0,408.0,451.0,130.0,36.0,61.0,7.0,47.0,1.0,441.0,2013.0,46146.3,MISSING,dj swearinger
Texans,00-0028082,57.49773743246207,Texans,-0.13,12.50%,Shiloh Keo,SS/S,0.4490291262135922,2013.0,shiloh keo,shiloh keo,shiloh keo,541.0,Shiloh Keo,HST,S,768.0,6296.0,16.0,6.0,1.0,0.0,13.0,0.0,71.1,63.0,23.0,43.9,1.0,0.0,20.3,15.0,4.0,3.0,52.1,11.0,629.0,119.0,420.0,14.0,12.0,53.0,1.0,19.0,0.0,108.0,2013.0,48384.0,MISSING,shiloh keo
Texans,00-0029520,0.0,Texans,-0.13,12.50%,Eddie Pleasant,FS/S,0.3276699029126214,2013.0,eddie pleasant,eddie pleasant,eddie pleasant,577.0,Eddie Pleasant,HST,S,151.0,7593.0,9.0,1.0,0.0,0.0,13.0,0.0,65.9,68.7,78.4,75.5,0.0,0.0,7.1,1.0,2.0,1.0,150.7,5.0,112.0,26.0,114.0,6.0,2.0,12.0,0.0,6.0,1.0,64.0,2013.0,10373.7,MISSING,eddie pleasant
Titans,00-0025406,151.16155310610085,Titans,0.03,43.80%,Michael Griffin,FS/S,4.930516181229773,2013.0,michael griffin,michael griffin,michael griffin,477.0,Michael Griffin,TEN,S,900.0,3635.0,14.0,11.0,0.0,1.0,31.0,1.0,65.7,71.5,30.8,77.3,1.0,0.0,10.3,9.0,3.0,2.0,90.6,17.0,693.0,163.0,529.0,31.0,16.0,67.0,2.0,24.0,1.0,190.0,2013.0,64350.0,MISSING,michael griffin
Titans,00-0030489,31.57444485752846,Titans,0.03,43.80%,Khalid Wooten,FS/CB,0.038549352750809,2013.0,khalid wooten,,khalid wooten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,00-0030491,15.369027900146843,Titans,0.03,43.80%,Daimion Stafford,SS/S,0.3369530744336569,2013.0,daimion stafford,daimion stafford,daimion stafford,595.0,Daimion Stafford,TEN,S,9.0,8031.0,3.0,0.0,0.0,0.0,31.0,0.0,47.6,45.5,71.2,75.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2013.0,409.5,MISSING,daimion stafford
